drug_name	active_ingredients
ISOLYTE S PH 7.4 IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
GOLYTELY	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
BENYLIN	DIPHENHYDRAMINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
PHYSIOLYTE IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
ISOLYTE P W/ DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE
NORMOZIDE	HYDROCHLOROTHIAZIDE; LABETALOL HYDROCHLORIDE
PLASMA-LYTE 56 IN PLASTIC CONTAINER	MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE
INDERIDE LA 80/50	HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
INDERIDE LA 120/50	HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
INDERIDE LA 160/50	HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
TUSSIONEX PENNKINETIC	CHLORPHENIRAMINE POLISTIREX; HYDROCODONE POLISTIREX
AMINOSYN 3.5% W/ DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN 4.25% W/ DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN 3.5% W/ DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
MAXZIDE	HYDROCHLOROTHIAZIDE; TRIAMTERENE
MAXZIDE-25	HYDROCHLOROTHIAZIDE; TRIAMTERENE
TRANDATE HCT	HYDROCHLOROTHIAZIDE; LABETALOL HYDROCHLORIDE
TRIPHASIL-28	ETHINYL ESTRADIOL; LEVONORGESTREL
TRIPHASIL-21	ETHINYL ESTRADIOL; LEVONORGESTREL
VASERETIC	ENALAPRIL MALEATE; HYDROCHLOROTHIAZIDE
PAREMYD	HYDROXYAMPHETAMINE HYDROBROMIDE; TROPICAMIDE
DIMETANE-DX	BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
OCL	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE
MD-76R	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
SYNOVALYTE IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
AZO GANTRISIN	PHENAZOPYRIDINE HYDROCHLORIDE; SULFISOXAZOLE
POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-ZM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-ZM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-ZM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; SODIUM CHLORIDE; SODIUM LACTATE
FIORINAL W/CODEINE	ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE
AMINOSYN II 10% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 8.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 7% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 3.5% M	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
AMINOSYN II 8.5% W/ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC
NOVOLIN 70/30	INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
LOPRESSIDONE	CHLORTHALIDONE; METOPROLOL TARTRATE
DRIXORAL PLUS	ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
RENACIDIN	CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE
AMINOSYN II 3.5% M IN PLASTIC CONTAINER	AMINO ACIDS; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
AMINOSYN II 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN II 3.5% IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN II 3.5% IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
IONOSOL MB AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS
IONOSOL T AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS
IONOSOL B AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS
TRAVASOL 2.75% IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 2.75% IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 2.75% IN DEXTROSE 15% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 2.75% IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 2.75% IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 4.25% IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 4.25% IN DEXTROSE 15% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
TRAVASOL 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
FML-S	FLUOROMETHOLONE; SULFACETAMIDE SODIUM
UCEPHAN	SODIUM BENZOATE; SODIUM PHENYLACETATE
AMINOSYN II 3.5% M IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 4.25% M IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 5% IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
MIXTARD HUMAN 70/30	INSULIN RECOMBINANT PURIFIED HUMAN; INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 2.5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 2.5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 2.5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 10% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 10% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 2.5% IN HALF-STRENGTH LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DEXTROSE 4% IN MODIFIED LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
ORTHO CYCLEN-21	ETHINYL ESTRADIOL; NORGESTIMATE
ORTHO CYCLEN-28	ETHINYL ESTRADIOL; NORGESTIMATE
CLARITIN-D	LORATADINE; PSEUDOEPHEDRINE SULFATE
EFIDAC 24 PSEUDOEPHEDRINE HYDROCHLORIDE/BROMPHENIRAMINE MALEATE	BROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE
ENLON-PLUS	ATROPINE SULFATE; EDROPHONIUM CHLORIDE
AMINOSYN II 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN II 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
AMINOSYN II 4.25% W/ ELECT AND ADJUSTED PHOSPHATE IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN II 5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
ORTHO TRI-CYCLEN	ETHINYL ESTRADIOL; NORGESTIMATE
POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 0.037% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.075% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.11% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
HUMULIN 70/30	INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
HUMULIN 70/30 PEN	INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
IFEX/MESNEX KIT	IFOSFAMIDE; MESNA
